dataset,method,round,phase,existing_id,existing_ood,newcomer_id,newcomer_ood
cifar10,FedAS,91,phase2,0.81183333,0.0,0.792,0.0
cifar10,FedAS,92,phase2,0.82766667,0.0,0.79325,0.0
cifar10,FedAS,93,phase2,0.80366667,0.0,0.79125,0.0
cifar10,FedAS,94,phase2,0.81433333,0.0,0.80775,0.0
cifar10,FedAS,95,phase2,0.8155,0.0,0.815,0.0
cifar10,FedAS,96,phase2,0.8215,0.0,0.7975,0.0
cifar10,FedAS,97,phase2,0.8235,0.0,0.80775,0.0
cifar10,FedAS,98,phase2,0.813,0.0,0.811,0.0
cifar10,FedAS,99,phase2,0.8085,0.0,0.81175,0.0
cifar10,FedAS,100,phase2,0.80166667,0.0,0.7935,0.0
cifar10,FedAvg,0,phase1,0.16666667,0.08333333,,
cifar10,FedAvg,1,phase1,0.3305,0.05704167,,
cifar10,FedAvg,2,phase1,0.43666667,0.05579167,,
cifar10,FedAvg,3,phase1,0.41066667,0.10679167,,
cifar10,FedAvg,4,phase1,0.40516667,0.12870833,,
cifar10,FedAvg,5,phase1,0.40333333,0.1365,,
cifar10,FedAvg,6,phase1,0.40666667,0.139875,,
cifar10,FedAvg,7,phase1,0.40833333,0.14666667,,
cifar10,FedAvg,8,phase1,0.41416667,0.149875,,
cifar10,FedAvg,9,phase1,0.41866667,0.155125,,
cifar10,FedAvg,10,phase1,0.41983333,0.159875,,
cifar10,FedAvg,11,phase1,0.42133333,0.1605,,
cifar10,FedAvg,12,phase1,0.42983333,0.15966667,,
cifar10,FedAvg,13,phase1,0.43066667,0.15804167,,
cifar10,FedAvg,14,phase1,0.4245,0.15758333,,
cifar10,FedAvg,15,phase1,0.42866667,0.15395833,,
cifar10,FedAvg,16,phase1,0.42333333,0.1525,,
cifar10,FedAvg,17,phase1,0.42183333,0.15275,,
cifar10,FedAvg,18,phase1,0.41866667,0.152125,,
cifar10,FedAvg,19,phase1,0.42383333,0.14933333,,
cifar10,FedAvg,20,phase1,0.424,0.14666667,,
cifar10,FedAvg,21,phase1,0.4235,0.14654167,,
cifar10,FedAvg,22,phase1,0.42383333,0.14658333,,
cifar10,FedAvg,23,phase1,0.42633333,0.144125,,
cifar10,FedAvg,24,phase1,0.42333333,0.14395833,,
cifar10,FedAvg,25,phase1,0.4255,0.14179167,,
cifar10,FedAvg,26,phase1,0.42233333,0.14270833,,
cifar10,FedAvg,27,phase1,0.42833333,0.140375,,
cifar10,FedAvg,28,phase1,0.4335,0.13754167,,
cifar10,FedAvg,29,phase1,0.43116667,0.13983333,,
cifar10,FedAvg,30,phase1,0.43166667,0.14075,,
cifar10,FedAvg,31,phase1,0.43516667,0.13775,,
cifar10,FedAvg,32,phase1,0.43433333,0.140375,,
